VALUE,ZONE_NAME,ESP_Name,ESP_LF,ESPLF_Name,ZONE_NAME_ENC,ESP_Name_ENC,ESPLF_Name_ENC
95,Northern Cascades,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,3,Upland Shrub,43,299,4
96,Northern Cascades,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,4,Upland Woodland,43,299,5
97,Northern Cascades,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,5,Upland Forest,43,299,2
98,Northern Cascades,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,6,Wetland Shrub-Herb,43,299,9
99,Northern Cascades,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,7,Wetland Forest,43,299,6
100,Northern Cascades,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,8,Wetland Shrub,43,299,8
101,Northern Cascades,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,9,Wetland Herb,43,299,7
102,Northern Cascades,North Pacific Mountain Hemlock Forest,0,Undetermined,43,304,1
103,Northern Cascades,North Pacific Mountain Hemlock Forest,1,Sparsely Vegetated,43,304,0
104,Northern Cascades,North Pacific Mountain Hemlock Forest,2,Upland Herb,43,304,3
105,Northern Cascades,North Pacific Mountain Hemlock Forest,3,Upland Shrub,43,304,4
106,Northern Cascades,North Pacific Mountain Hemlock Forest,4,Upland Woodland,43,304,5
107,Northern Cascades,North Pacific Mountain Hemlock Forest,5,Upland Forest,43,304,2
108,Northern Cascades,North Pacific Mountain Hemlock Forest,6,Wetland Shrub-Herb,43,304,9
109,Northern Cascades,North Pacific Mountain Hemlock Forest,7,Wetland Forest,43,304,6
110,Northern Cascades,North Pacific Mountain Hemlock Forest,8,Wetland Shrub,43,304,8
111,Northern Cascades,North Pacific Mountain Hemlock Forest,9,Wetland Herb,43,304,7
112,Northern Cascades,North Pacific Mesic Western Hemlock-Silver Fir Forest,0,Undetermined,43,300,1
113,Northern Cascades,North Pacific Mesic Western Hemlock-Silver Fir Forest,1,Sparsely Vegetated,43,300,0
114,Northern Cascades,North Pacific Mesic Western Hemlock-Silver Fir Forest,2,Upland Herb,43,300,3
115,Northern Cascades,North Pacific Mesic Western Hemlock-Silver Fir Forest,3,Upland Shrub,43,300,4
116,Northern Cascades,North Pacific Mesic Western Hemlock-Silver Fir Forest,4,Upland Woodland,43,300,5
117,Northern Cascades,North Pacific Mesic Western Hemlock-Silver Fir Forest,5,Upland Forest,43,300,2
118,Northern Cascades,North Pacific Mesic Western Hemlock-Silver Fir Forest,6,Wetland Shrub-Herb,43,300,9
119,Northern Cascades,North Pacific Mesic Western Hemlock-Silver Fir Forest,7,Wetland Forest,43,300,6
120,Northern Cascades,North Pacific Mesic Western Hemlock-Silver Fir Forest,8,Wetland Shrub,43,300,8
121,Northern Cascades,North Pacific Mesic Western Hemlock-Silver Fir Forest,9,Wetland Herb,43,300,7
122,Northern Cascades,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,0,Undetermined,43,330,1
123,Northern Cascades,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,1,Sparsely Vegetated,43,330,0
124,Northern Cascades,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,2,Upland Herb,43,330,3
125,Northern Cascades,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,3,Upland Shrub,43,330,4
126,Northern Cascades,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,4,Upland Woodland,43,330,5
127,Northern Cascades,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,5,Upland Forest,43,330,2
128,Northern Cascades,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,6,Wetland Shrub-Herb,43,330,9
129,Northern Cascades,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,7,Wetland Forest,43,330,6
130,Northern Cascades,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,8,Wetland Shrub,43,330,8
131,Northern Cascades,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,9,Wetland Herb,43,330,7
132,Northern Cascades,Northern Rocky Mountain Subalpine Woodland and Parkland,0,Undetermined,43,336,1
133,Northern Cascades,Northern Rocky Mountain Subalpine Woodland and Parkland,1,Sparsely Vegetated,43,336,0
134,Northern Cascades,Northern Rocky Mountain Subalpine Woodland and Parkland,2,Upland Herb,43,336,3
135,Northern Cascades,Northern Rocky Mountain Subalpine Woodland and Parkland,3,Upland Shrub,43,336,4
136,Northern Cascades,Northern Rocky Mountain Subalpine Woodland and Parkland,4,Upland Woodland,43,336,5
137,Northern Cascades,Northern Rocky Mountain Subalpine Woodland and Parkland,5,Upland Forest,43,336,2
138,Northern Cascades,Northern Rocky Mountain Subalpine Woodland and Parkland,6,Wetland Shrub-Herb,43,336,9
139,Northern Cascades,Northern Rocky Mountain Subalpine Woodland and Parkland,7,Wetland Forest,43,336,6
140,Northern Cascades,Northern Rocky Mountain Subalpine Woodland and Parkland,8,Wetland Shrub,43,336,8
141,Northern Cascades,Northern Rocky Mountain Subalpine Woodland and Parkland,9,Wetland Herb,43,336,7
142,Northern Cascades,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna,0,Undetermined,43,335,1
143,Northern Cascades,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna,1,Sparsely Vegetated,43,335,0
144,Northern Cascades,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna,2,Upland Herb,43,335,3
145,Northern Cascades,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna,3,Upland Shrub,43,335,4
146,Northern Cascades,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna,4,Upland Woodland,43,335,5
147,Northern Cascades,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna,5,Upland Forest,43,335,2
148,Northern Cascades,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna,6,Wetland Shrub-Herb,43,335,9
149,Northern Cascades,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna,7,Wetland Forest,43,335,6
150,Northern Cascades,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna,8,Wetland Shrub,43,335,8
151,Northern Cascades,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna,9,Wetland Herb,43,335,7
152,Northern Cascades,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,0,Undetermined,43,369,1
153,Northern Cascades,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,1,Sparsely Vegetated,43,369,0
154,Northern Cascades,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,2,Upland Herb,43,369,3
155,Northern Cascades,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,3,Upland Shrub,43,369,4
156,Northern Cascades,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,4,Upland Woodland,43,369,5
157,Northern Cascades,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,5,Upland Forest,43,369,2
158,Northern Cascades,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,6,Wetland Shrub-Herb,43,369,9
159,Northern Cascades,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,7,Wetland Forest,43,369,6
160,Northern Cascades,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,8,Wetland Shrub,43,369,8
161,Northern Cascades,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,9,Wetland Herb,43,369,7
162,Northern Cascades,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,0,Undetermined,43,370,1
163,Northern Cascades,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,1,Sparsely Vegetated,43,370,0
164,Northern Cascades,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,2,Upland Herb,43,370,3
165,Northern Cascades,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,3,Upland Shrub,43,370,4
166,Northern Cascades,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,4,Upland Woodland,43,370,5
167,Northern Cascades,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,5,Upland Forest,43,370,2
168,Northern Cascades,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,6,Wetland Shrub-Herb,43,370,9
169,Northern Cascades,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,7,Wetland Forest,43,370,6
170,Northern Cascades,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,8,Wetland Shrub,43,370,8
171,Northern Cascades,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,9,Wetland Herb,43,370,7
172,Northern Cascades,East Cascades Oak-Ponderosa Pine Forest and Woodland,0,Undetermined,43,163,1
173,Northern Cascades,East Cascades Oak-Ponderosa Pine Forest and Woodland,1,Sparsely Vegetated,43,163,0
174,Northern Cascades,East Cascades Oak-Ponderosa Pine Forest and Woodland,2,Upland Herb,43,163,3
175,Northern Cascades,East Cascades Oak-Ponderosa Pine Forest and Woodland,3,Upland Shrub,43,163,4
176,Northern Cascades,East Cascades Oak-Ponderosa Pine Forest and Woodland,4,Upland Woodland,43,163,5
177,Northern Cascades,East Cascades Oak-Ponderosa Pine Forest and Woodland,5,Upland Forest,43,163,2
178,Northern Cascades,East Cascades Oak-Ponderosa Pine Forest and Woodland,6,Wetland Shrub-Herb,43,163,9
179,Northern Cascades,East Cascades Oak-Ponderosa Pine Forest and Woodland,7,Wetland Forest,43,163,6
180,Northern Cascades,East Cascades Oak-Ponderosa Pine Forest and Woodland,8,Wetland Shrub,43,163,8
181,Northern Cascades,East Cascades Oak-Ponderosa Pine Forest and Woodland,9,Wetland Herb,43,163,7
182,Northern Cascades,North Pacific Broadleaf Landslide Forest and Shrubland,0,Undetermined,43,289,1
183,Northern Cascades,North Pacific Broadleaf Landslide Forest and Shrubland,1,Sparsely Vegetated,43,289,0
184,Northern Cascades,North Pacific Broadleaf Landslide Forest and Shrubland,2,Upland Herb,43,289,3
185,Northern Cascades,North Pacific Broadleaf Landslide Forest and Shrubland,3,Upland Shrub,43,289,4
186,Northern Cascades,North Pacific Broadleaf Landslide Forest and Shrubland,4,Upland Woodland,43,289,5
187,Northern Cascades,North Pacific Broadleaf Landslide Forest and Shrubland,5,Upland Forest,43,289,2
188,Northern Cascades,North Pacific Broadleaf Landslide Forest and Shrubland,6,Wetland Shrub-Herb,43,289,9
189,Northern Cascades,North Pacific Broadleaf Landslide Forest and Shrubland,7,Wetland Forest,43,289,6
190,Northern Cascades,North Pacific Broadleaf Landslide Forest and Shrubland,8,Wetland Shrub,43,289,8
191,Northern Cascades,North Pacific Broadleaf Landslide Forest and Shrubland,9,Wetland Herb,43,289,7
192,Northern Cascades,Columbia Plateau Scabland Shrubland,0,Undetermined,43,157,1
193,Northern Cascades,Columbia Plateau Scabland Shrubland,1,Sparsely Vegetated,43,157,0
194,Northern Cascades,Columbia Plateau Scabland Shrubland,2,Upland Herb,43,157,3
195,Northern Cascades,Columbia Plateau Scabland Shrubland,3,Upland Shrub,43,157,4
196,Northern Cascades,Columbia Plateau Scabland Shrubland,4,Upland Woodland,43,157,5
197,Northern Cascades,Columbia Plateau Scabland Shrubland,5,Upland Forest,43,157,2
198,Northern Cascades,Columbia Plateau Scabland Shrubland,6,Wetland Shrub-Herb,43,157,9
199,Northern Cascades,Columbia Plateau Scabland Shrubland,7,Wetland Forest,43,157,6
200,Northern Cascades,Columbia Plateau Scabland Shrubland,9,Wetland Herb,43,157,7
201,Northern Cascades,North Pacific Dry and Mesic Alpine Dwarf-Shrubland or Fell-field or Meadow,0,Undetermined,43,291,1
202,Northern Cascades,North Pacific Dry and Mesic Alpine Dwarf-Shrubland or Fell-field or Meadow,1,Sparsely Vegetated,43,291,0
203,Northern Cascades,North Pacific Dry and Mesic Alpine Dwarf-Shrubland or Fell-field or Meadow,2,Upland Herb,43,291,3
204,Northern Cascades,North Pacific Dry and Mesic Alpine Dwarf-Shrubland or Fell-field or Meadow,3,Upland Shrub,43,291,4
205,Northern Cascades,North Pacific Dry and Mesic Alpine Dwarf-Shrubland or Fell-field or Meadow,4,Upland Woodland,43,291,5
206,Northern Cascades,North Pacific Dry and Mesic Alpine Dwarf-Shrubland or Fell-field or Meadow,5,Upland Forest,43,291,2
207,Northern Cascades,North Pacific Dry and Mesic Alpine Dwarf-Shrubland or Fell-field or Meadow,6,Wetland Shrub-Herb,43,291,9
208,Northern Cascades,North Pacific Dry and Mesic Alpine Dwarf-Shrubland or Fell-field or Meadow,7,Wetland Forest,43,291,6
209,Northern Cascades,North Pacific Dry and Mesic Alpine Dwarf-Shrubland or Fell-field or Meadow,8,Wetland Shrub,43,291,8
210,Northern Cascades,North Pacific Dry and Mesic Alpine Dwarf-Shrubland or Fell-field or Meadow,9,Wetland Herb,43,291,7
211,Northern Cascades,Inter-Mountain Basins Big Sagebrush Shrubland,0,Undetermined,43,232,1
212,Northern Cascades,Inter-Mountain Basins Big Sagebrush Shrubland,1,Sparsely Vegetated,43,232,0
213,Northern Cascades,Inter-Mountain Basins Big Sagebrush Shrubland,2,Upland Herb,43,232,3
214,Northern Cascades,Inter-Mountain Basins Big Sagebrush Shrubland,3,Upland Shrub,43,232,4
215,Northern Cascades,Inter-Mountain Basins Big Sagebrush Shrubland,4,Upland Woodland,43,232,5
216,Northern Cascades,Inter-Mountain Basins Big Sagebrush Shrubland,5,Upland Forest,43,232,2
217,Northern Cascades,Inter-Mountain Basins Big Sagebrush Shrubland,6,Wetland Shrub-Herb,43,232,9
218,Northern Cascades,Inter-Mountain Basins Big Sagebrush Shrubland,7,Wetland Forest,43,232,6
219,Northern Cascades,Inter-Mountain Basins Big Sagebrush Shrubland,8,Wetland Shrub,43,232,8
220,Northern Cascades,Inter-Mountain Basins Big Sagebrush Shrubland,9,Wetland Herb,43,232,7
221,Northern Cascades,North Pacific Avalanche Chute Shrubland,1,Sparsely Vegetated,43,288,0
222,Northern Cascades,North Pacific Avalanche Chute Shrubland,3,Upland Shrub,43,288,4
223,Northern Cascades,North Pacific Avalanche Chute Shrubland,5,Upland Forest,43,288,2
224,Northern Cascades,North Pacific Avalanche Chute Shrubland,9,Wetland Herb,43,288,7
225,Northern Cascades,North Pacific Montane Shrubland,0,Undetermined,43,303,1
226,Northern Cascades,North Pacific Montane Shrubland,1,Sparsely Vegetated,43,303,0
227,Northern Cascades,North Pacific Montane Shrubland,2,Upland Herb,43,303,3
228,Northern Cascades,North Pacific Montane Shrubland,3,Upland Shrub,43,303,4
229,Northern Cascades,North Pacific Montane Shrubland,4,Upland Woodland,43,303,5
230,Northern Cascades,North Pacific Montane Shrubland,5,Upland Forest,43,303,2
231,Northern Cascades,North Pacific Montane Shrubland,6,Wetland Shrub-Herb,43,303,9
232,Northern Cascades,North Pacific Montane Shrubland,7,Wetland Forest,43,303,6
233,Northern Cascades,North Pacific Montane Shrubland,9,Wetland Herb,43,303,7
234,Northern Cascades,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,0,Undetermined,43,334,1
235,Northern Cascades,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,1,Sparsely Vegetated,43,334,0
236,Northern Cascades,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,2,Upland Herb,43,334,3
237,Northern Cascades,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,3,Upland Shrub,43,334,4
238,Northern Cascades,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,4,Upland Woodland,43,334,5
239,Northern Cascades,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,5,Upland Forest,43,334,2
240,Northern Cascades,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,6,Wetland Shrub-Herb,43,334,9
241,Northern Cascades,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,7,Wetland Forest,43,334,6
242,Northern Cascades,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,9,Wetland Herb,43,334,7
243,Northern Cascades,Willamette Valley Upland Prairie and Savanna,0,Undetermined,43,493,1
244,Northern Cascades,Willamette Valley Upland Prairie and Savanna,1,Sparsely Vegetated,43,493,0
245,Northern Cascades,Willamette Valley Upland Prairie and Savanna,2,Upland Herb,43,493,3
246,Northern Cascades,Willamette Valley Upland Prairie and Savanna,3,Upland Shrub,43,493,4
247,Northern Cascades,Willamette Valley Upland Prairie and Savanna,4,Upland Woodland,43,493,5
248,Northern Cascades,Willamette Valley Upland Prairie and Savanna,5,Upland Forest,43,493,2
249,Northern Cascades,Willamette Valley Upland Prairie and Savanna,6,Wetland Shrub-Herb,43,493,9
250,Northern Cascades,Willamette Valley Upland Prairie and Savanna,7,Wetland Forest,43,493,6
251,Northern Cascades,Willamette Valley Upland Prairie and Savanna,8,Wetland Shrub,43,493,8
252,Northern Cascades,Willamette Valley Upland Prairie and Savanna,9,Wetland Herb,43,493,7
253,Northern Cascades,Columbia Plateau Steppe and Grassland,0,Undetermined,43,158,1
254,Northern Cascades,Columbia Plateau Steppe and Grassland,1,Sparsely Vegetated,43,158,0
255,Northern Cascades,Columbia Plateau Steppe and Grassland,2,Upland Herb,43,158,3
256,Northern Cascades,Columbia Plateau Steppe and Grassland,3,Upland Shrub,43,158,4
257,Northern Cascades,Columbia Plateau Steppe and Grassland,4,Upland Woodland,43,158,5
258,Northern Cascades,Columbia Plateau Steppe and Grassland,5,Upland Forest,43,158,2
259,Northern Cascades,Columbia Plateau Steppe and Grassland,6,Wetland Shrub-Herb,43,158,9
260,Northern Cascades,Columbia Plateau Steppe and Grassland,7,Wetland Forest,43,158,6
261,Northern Cascades,Columbia Plateau Steppe and Grassland,8,Wetland Shrub,43,158,8
262,Northern Cascades,Columbia Plateau Steppe and Grassland,9,Wetland Herb,43,158,7
263,Northern Cascades,Columbia Plateau Low Sagebrush Steppe,0,Undetermined,43,156,1
264,Northern Cascades,Columbia Plateau Low Sagebrush Steppe,1,Sparsely Vegetated,43,156,0
265,Northern Cascades,Columbia Plateau Low Sagebrush Steppe,2,Upland Herb,43,156,3
266,Northern Cascades,Columbia Plateau Low Sagebrush Steppe,3,Upland Shrub,43,156,4
267,Northern Cascades,Columbia Plateau Low Sagebrush Steppe,4,Upland Woodland,43,156,5
268,Northern Cascades,Columbia Plateau Low Sagebrush Steppe,5,Upland Forest,43,156,2
